,弹幕
1,把大森林还给自然界，挺好
2,城市拥挤密集恐惧症
3,人往高处走，人口流失不是很正常的吗
4,中华民族到了最危险的时候，每个人被迫……
5,己所不欲，勿施于人，生下穷二代，痛苦多一倍。
6,劳斯莱斯幻影50块钱优惠券
7,《着急》
8,4个人好歹还能聚一起打一桌麻将
9,《福气满满》
10,《着急》
11,只要解决“安居乐业”这四个字就可以了
12,真好，可喜可贺
13,《热议》
14,一个不生，幸福一生
15,空地允许我盖房吗？不允许
16,可喜可贺可喜可贺
17,法拉利出车祸超速就很淦
18,法拉利超速出车祸就很淦
19,那就让我们把这废弃的城市所占的土地还给大自然
20,警戒线高了，得调低
21,竟然还有人生？
22,太好了，能给我匀出大house和牛排吗
23,留给地产公司疯狂盖楼
24,竟然还是正数
25,公务员带头生先！！！
26,好耶，好日子要来力，大的要来力
27,师爷是装糊涂的高手
28,先让有条件的多生
29,生下来的真就是基因选择了
30,好啊那时候房价可以降下来了
31,全世界工蜂，联合起来
32,接着奏乐，接着舞
33,小张啊，咱俩好吧，一块儿生儿子。
34,《福  报》
35,太棒了，天堂了属于是
36,生四个儿，教育占大头，各种补课，房子小头
37,人家是真有实力买才去买的
38,还用五十年后才“将”？现在就已经“将”了！
39,大叔们过的越来越好了
40,给每个家庭一套120平的房子完美解决
41,那可真是挺好的，让地球减轻负担
42,事业和家庭我坚决选事业
43,听成 我家也很着急啊~~哈哈哈
44,买法拉利送矿泉水一瓶
45,这可是振兴老工业基地的成果呢
46,谢谢你传来好消息
47,其实人口生育率下降就是因为人口过于集中
48,地球表示庆祝
49,好消息接踵而至
50,太好了，特大喜讯！
51,起来饥寒交迫的人们
52,老板们孩子可都不少
53,如果不结婚也要收税，那年轻人工作都干脆不会去找了
54,正视真正矛盾。不要瞎转移到互联网身上
55,好事，也是必然
56,房价再涨一倍，生育率就上去了 哈哈
57,强制多生，不生罚款
58,同归于尽
59,不会的，人口不能用趋势来预判未来
60,《福报》
61,不重新洗牌都得玩完
62,继续跌，面对生育教育医疗房子成本，我不想生
63,兰五券
64,他着急关我们什么事哦
65,人少了竞争才少，大自然自己在调节
66,听君一席话，如听一席话
67,还有1300，挺多的了，那么紧张我还以为只有13人
68,继续涨房价的好处
69,薅羊毛，搞经济要从哪里搞呢
70,东北94年工人大下岗有多惨
71,人少了还清净
72,我知道，然后呢
73,可喜可贺
74,可喜可贺
75,我竟是其中之一
76,你挑的嘛偶像
77,神逻辑
78,对象都找不到
79,人少了房子是不是也要下来了！
80,还有水分
81,人类很多，不差我这点基因延续。哪怕全球就剩一个洲人类也能繁衍下去。
82,搞金融不是搞经济
83,都跑到世界各地去了
84,两年内破1
85,形势大好！
86,解决不了人的问题就解决人
87,特大喜讯
88,我的内心毫无波动
89,太对了，哥
90,会有的，等着吧
91,挺好的。大兴安岭就应该是一片森林。不需要人去打扰
92,请继续保持
93,着急只是着急没用工具可以压榨了，dddd
94,福   报
95,还有这等好事
96,着急提升房价呢
97,那简直太好了
98,太好了，支持
99,资本只要年轻人和年轻人的年青时段
100,我们东北就是被抛弃了，事实
101,搞经济，搞技术才对，打战是物资和技术最管用，周围虎视眈眈的呢！
102,啊，居然还有1.5
103,来不及咯
104,一辈子很快就过去
105,五十年后和我有什么关系
106,还有1.5？居然这么高
107,太好了，给其他生物留一片净土不然都别想好过
108,我不生有得是人生
109,但还是舍不得给钱
110,牛批
111,好消息好消息！！！
112,南西伯利亚不是梦
113,都到珠海了
114,准确来说应该是个人经济，城市经济已经很好了
115,千万别生！！！
116,那可真是太好了呢
117,还得降类
118,哈哈，大家一起加油
119,把南方的经济基础挪到东北一半就好了
120,好消息啊
121,还有这等好事？
122,好好好！
123,质量不也重要
124,主要是经济不行
125,可喜可贺
126,可喜可贺
127,那么冷，专家肯定不去
128,三连
129,法拉利车不行，就给我便宜500万我也不买
130,要饭的碗换个大的
131,中国凭什么能没有副作用的发展崛起？
132,肘，跟我进屋
133,都去海南了
134,光头强表示不服
135,50年后？没几个能活到那个时候的
136,好！
137,喜大普奔
138,关我啥事？几十年以后我还知道啥？
139,哈哈哈
140,好耶 漂亮 
141,买房减五元
142,不关我事
143,竟然还有5呢
144,做梦
145,针不戳
146,再说。。哈哈
147,不生不生
148,好起来了
149,那可真是太好了
150,好消息
151,十四亿太多了，六亿刚好
152,还有1300？
153,小张生了吗
154,130人不错啦，我以为没人呢
155,可以探索
156,2.1才能维持人口基数
157,正针为磁极之子午，中针为地球南北极之子午，缝针为测日影圭臬之子午。
158,可能少，但不可能没有
159,好啊，恭喜恭喜
160,不知道不在乎
161,恶性循环
162,好啊！
163,无所谓
164,哈哈哈哈哈哈哈哈哈
165,城市？
166,它并不着急
167,ohhhhhhhhhhhhhhhhhhhhhh
168,可喜可贺
169,没看出国家再急，一点儿实在的都没就会喊口号
170,好！
171,韩国在等着我们呢
172,好好好
173,好诶
174,哈哈哈哈哈哈哈哈
175,它也不振兴东北啊
176,五十年不至于绝种吧
177,还有1.5这么高？
178,哈哈哈哈哈哈
179,跑美利坚多好
180,比如海南
181,不相信
182,好耶
183,好！
184,希望更少
185,好!
186,消极
187,专家先生
188,去海南让他们回来
189,少了
190,哈哈哈哈
191,对的没时间  
192,还探索呢
193,谁在乎？
194,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
195,好！
196,工资低，大学生工资两三千，还有无限加班和单休
197,1.5？1.3！
198,好耶！
199,怎么才一百多万
200,喜大普奔
201,1.3大于1.5！
202,ざまみろ！
203,好！
204,拍手叫绝
205,真实的怕是到1.1-1.2了
206,牛逼我支持太好了
207,厉害的都在美国
208,哈哈哈哈
209,工资高了自然有人生，没钱生毛线
210,哈哈哈
211,太棒了
212,破1了
213,秒啊
214,今年1都到不了
215,好！！！
216,所以呢
217,这是好事
218,无所谓
219,挺正常的
220,好耶
221,好耶
222,十二小时三班倒.哪有时间生孩子
223,东北领先全国
224,我与东北共存亡
225,呵呵
226,别生！跟父母真正关系好的养，你特么是为自己而生的，先把自己安置好了再说
227,关我锤子事
228,就是不想生
229,大力开发房地产啊！卷起来啊？
230,为什么要让孩子再受一遍苦?
231,有钱人多生一些吧
232,恭喜
233,都不生看你内卷极巴ne
234,穷穷穷穷，
235,根源其中之一是东北以北没有出海口！
236,向东北人民学习加一
237,放心东北还是全员独生
238,垃圾营销号
239,关你屁事！
240,透过现象看本质
241,谁把重工业中心摧毁，找他下崽子去
242,恭喜恭喜
243,着急 指早知道但就是视而不见
244,要不了二十年
245,因为穷
246,让有钱人多生啊，让有钱人一夫多妻
247,干的漂亮
248,生一个娃给200万，那以后钱还值钱吗？？
249,不婚不育芳龄永既，你不生我不生有的是 人生！
250,老子996！还“被逼”到处出差！哪来的时间谈恋爱！和老板谈！干老板吗！
251,都去别的地方生了
252,关我吊事
253,东北老哥撑住。南方人还在后面
254,又不是每天死1.2万，没见过世面。
255,和我对象商量好了丁克
256,就算降到零了，关我屁事
257,跌破1.5说明很多人二胎都不愿意生，就这还自以为是的开放什么三胎四胎
258,人太多的概念
259,东北人复古吧，把马养起来，做回游牧民族
260,别说了 10年后东北都没人了 我也要走了
261,笑死，可以生一个的时候都不生，开三个就给你生了？
262,少生孩子多种树
263,我跟你一起生
264,凭什么着急，百姓皆苦
265,我的工资要是能翻10倍 现在的物价还考虑生三胎 我现在一年平均下来勉强4000一个月
266,全加死光的故而说话就是硬气
267,全加4光的故而说话就是硬气
268,生个键盘侠
269,我就是流出人口之一
270,讲个笑话 振兴东北
271,东北人都跑去各省啦
272,不 还不够急
273,严峻个锤子
274,东北没工作， 除了国企公务员， 没正经企业
275,你生了几个啊在这哔哔赖赖
276,那怪谁，年轻人养自己都难，养孩子？
277,人跑了    钱也跑远了
278,流动人口，生育率搬迁了。
279,老大是shi
280,你还是不想生
281,这怪谁？
282,他不急
283,就是不生
284,叫你不建设
285,164万少了把
286,东北生态不好，不光是经济层面的
287,粮食安全靠谁呢
288,好
289,《拿下》
290,天天画大饼，让人民群众冲
291,干得漂亮
292,克隆
293,经济均衡发展
294,好事没东北，生孩子第一个找东北
295,不然呢？
296,该
297,前面说冷的，冬天到低哪冷，扯呢
298,中国就是人太多了，各岗位的工资都相对较低，你不干有大把的人干，一个人都活的这么难
299,老百姓有钱，有时间才是关键
300,“着急”
301,那就下调警戒线
302,人少了 地多了，房价下去了
303,你行，你来
304,先说你准备生几个？
305,东北女版陈浩南那么拽，你娶啊
306,把房价压高，青年还不如老头子香
307,可喜可贺！
308,你生
309,资源不平衡
310,燕郊这边东北人很多
311,房子买不起，老百姓没法生活
312,没关系
313,投资不过山海关
314,留下没事干啊
315,与我无关
316,继续，没事
317,可喜可贺
318,东北经济得发展起来，才能留住人啊
319,让有钱的生不就行了
320,三个省才
321,退耕还林!
322,老婆
323,用不了那么久！10年之内就会极速衰退
324,别搞什么二胎三胎了呗，取消计生随便生，养的起的人爱生多少就生多久，让有钱人自己内卷自己去
325,东北全国领先
326,知道我们东北是人口流出，那为什么打疫苗还给那么大指标让完成？？？
327,可喜可贺！那可真太好了
328,可喜可贺！
329,本来就不适合人类居住 ，建国初期的人口迁入也是因为东北的矿产资源和日本人留下来的工业基础，工业产业迁移后根本就没有居住的必要了，直接变成生态保护区更好
330,人人有房，岂不妙哉
331,管我鸟事
332,把环境还给地球
333,明明低得高兴
334,但是，休闲生活，慢节奏，过的很舒服
335,而是因为结婚率不足
336,屁。而是没结婚
337,所以，东北人过的舒服。
338,中国不缺人
339,好！
340,吃不饱饭，你给我加个碗有什么用
341,没有改善
342,可以探索，你就是放开生10胎都没人生
343,赚断子绝孙钱
344,就是国家自己作的
345,东北倒数三巨头
346,羊不够吃了，狼很着急
347,太好了，
348,探索？还顾及着脸面。那就彻底不要脸吧。
349,国家就会搞些没用的 天天口头鼓励 解决问题连问题的本质都没发现
350,开放二孩是给一孩家庭准备的，三孩是给二孩家庭准备的，时隔三年，其实针对的就是愿意生的家庭
351,才1300不至于吧，我感觉县城就比这个人高
352,关键就是去可以赚到钱的北上广有几个敢生第一胎的
353,哈哈哈哈哈哈哈哈哈经典
354,急啥？你不生有得是人生
355,光说生尼  咋样姑娘00”
356,给有钱人开放一夫多妻
357,我觉得这时候应该套用这句话   你不生有的是人生（狗头）
358,什么？还有1300人？  我对你们很失望啊
359,真是
360,千万不要上当受骗
361,说明你我开始值钱了
362,能让有钱人生
363,国家着急没有社畜了吧，国家能有什么坏心思呢
364,多开放几太胎嘛，让想生的生个够
365,免费送房我就生
366,大快人心
367,那你多生点
368,她真漂亮
369,目的是让有钱人多生孩子
370,我不是不想生，我是同性都找不到
371,你生了吗？主持人
372,不用50年，生老病死的，不结婚不生孩子更快
373,你房价下来，马上有人生
374,振兴东北就是口号啊
375,关我屁事，女朋友都没有
376,东北人都走吧，不种粮食了
377,借用周星星一句话天下安居乐业哪来的乞丐
378,吃饭嫌人多，做饭嫌人少
379,东北等于北欧
380,看东北就知道，按这个搞法不可能
381,东北那是龙兴之地 肯定不能乱开发动了龙脉
382,100万你想养活孩子？生下来就是打工的命。
383,生不起，不想让孩子生下来受罪。
384,你知道英雄母亲吗？你知道强行揭瓦吗？
385,14亿人口还很多
386,把人口看成红利都不是人
387,你生了几个？不够来跟我生
388,那你还不快点回去生孩子
389,东北赶紧灭亡吧，不适合生存
390,国家急TMB，房价一跌就直接调查，那是人干的事啊
391,关我屁事，不生就是不生
392,你不生，我不生
393,我佛不渡穷逼
394, 我们当不当乞丐完全取决于你啊皇上
395,中国人口本来就多一直想降低人口现在不是开始降了吗，这还不好吗
396,娃长大也是奴隶，为撒带他来世
397,全国除了东北遍地都是东北人
398,这是消除贫苦你懂什么    绝户就不贫苦了
399,挺好的。学会上海话广州话 誓死不做东北人
400,你当别人是猪，开放了，就给你生10胎8胎？
401,所以房价可以降下来了吗
402,这不很符合国情嘛再接再厉，争取十年再少一千万人，东北地区
403,有钱做航母，没钱搞民生
404,看不出来，都吃得满嘴流油
405,我儿子12岁，再给我100万我也不生二胎，不是不能生，是真不够啊！
406,真生不起，各种不刷医保的生产检查
407,没关系，我像韩国人，日本人学习，因为不向他们学习不行！一个人孤独终老吧！
408,让有钱人生就完事了
409,着急就好，急也没用
410,你想多了
411,弹幕别刷quan了，juaner就是我们东北这的方言，
412,女子耳阝
413,太好了，我绝对不会上当，我不生
414,阴间bgm
415,儿孙自有儿孙福，没有儿孙我享福
416,他急了
417,年纪轻轻就赶紧去奋斗，生什么孩子
418,我不福
419,又不能花一辈子
420,别可东北一个地方坑了行不？
421,啥他么有风险的都让东北先试
422,富豪多生点
423,真实
424,哈哈，装糊涂的高手
425,装糊涂的高手！
426,先别谈生娃了，前面还有谈恋爱，结婚两座大山没跨过去呢
427,海南岛全是东北人
428,有用吗
429,没看出急？至少我觉得垃圾分类急一点
430,着急
431,怎么就流这么一点
432,着急也接着装糊涂
433,专家先生10个做个示范
434,让那些老逼登生吧，天天满口仁义道德
435,还搁那分析呢，用分析吗还
436,摸摸
437,老叫兽了
438,你再骂
439,好
440,哈哈我允许你每天吃十顿饭你为什么还说没饭吃
441,北弱南强 人都跑了
442,好
